Bentuk Takbaku,Bentuk Baku,Sumber,Dapat Diubah,Ambigu,Memiliki Makna,Memiliki Homonim,Memiliki Homograf,Bentuk Baku Homograf Sama
"gembung","kembung","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gementar","gemetar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gemercing","gemerencing","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gemit","gamit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gempal","gumpal","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gencer","gencar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gencir","gelincir","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gendaga","kendaga","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gendala","kendala","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gendit","kendit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"genih","genis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"genteng","genting","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gentik","getik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"geosinkronis","geostasioner","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerabak","gerabang","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"geracak","gerecak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"geradah","geledah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"geragot","gerogot","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerameh","gurami","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerami","gurami","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerangsang","berangsang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerdam","gerdum","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerebak","gerebek","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerebek","garebek","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gerejani","gerejawi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerenek","gerenik","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"gerentam","gerentang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerenyam","geranyam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerenyut","gerenyot","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gergajul","bergajul","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerih","gereh","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"geringsing","gerising","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gerinyut","gerenyot","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerip","gerit","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gerita","gurita","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"geroda","garuda","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerong","gerung","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"geronggong","geronggang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"geronium","geranium","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerontang","gerantang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"geropes","gerupis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gersak","kersak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gersik","kersik","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gertap","gerlap","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gertuk","kertuk","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerubuk","gerobok","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gerugul","gerogol","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gerumit","gerupis","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gesau","desau","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"getir","getil","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gewang","giwang","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"ghaib","gaib","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ghoib","gaib","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gibas","kibas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gigir","gigil","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"ginggang","genggang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gingsi","gengsi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gini","begini","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"girah","gairah","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gitu","begitu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gladi","geladi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"glamour","glamor","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"glikosid","glikosida","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gliserin","gliserol","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"glisin","glisina","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"glodok","gelodok","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"glondong","gelondong","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"glondongan","gelondongan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"glosari","glosarium","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"glukosamin","glukosamina","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"goa","gua","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gobah","gubah","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gogo","gaga","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"golpi","golbi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gombrong","gombroh","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"goncang","guncang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gonio","goniometri","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gono-gini","gana-gini","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gonrong","gondrong","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gonyak","gonjak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"goroh","gorok","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"grafitasi","gravitasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"graha","gerha","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gregat","gereget","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"greget","gereget","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"greha","gerha","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"grendel","gerendel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"guanin","guanina","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gubang","gobang","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"gubar","gobar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gudam","godam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gula alkohol","alkohol gula","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gulambai","kelambai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"gurem","guram","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hadam","khadam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hadang","adang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hakekat","hakikat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"halofita","halofit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"handal","andal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"handam","andam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hangar","hanggar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hanyasanya","hanya","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hapal","hafal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"harafiah","harfiah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hauri","haur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"heban","hebat","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"hektar","hektare","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"helah","helat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"helmet","helm","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hembus","embus","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hendam","andam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hentak","entak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"herbivora","herbivor","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hermetik","hermetis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hibrid","hibrida","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hidayat","hidayah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hidraulik","hidraulis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hidrolika","hidraulika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hikam","hikmah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hilap","khilaf","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"himbau","imbau","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"himpit","impit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hingar","ingar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hingar bingar","ingar bingar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hipnose","hipnosis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hipotesa","hipotesis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hipotik","hipotek","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hirarki","hierarki","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hisap","isap","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hodah","haudah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hol","haul","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"horak","orak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hordeng","gorden","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"horisontal","horizontal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hubar","uber","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hujah","hujat","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"hukah","hokah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hulur","ulur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"humbalang","hembalang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hunjin","hujin","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hunjuk","unjuk","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"husuk","khusuk","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hutang","utang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"hymne","himne","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ibah","hibah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ibuk","hibuk","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ibukota","ibu kota","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"idiil","ideal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"idiologi","ideologi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Idulkurban","Iduladha","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"idzin","izin","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ihlas","ikhlas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ihtiar","ikhtiar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ijabat","ijabah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ijasah","ijazah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ijeman","ijon","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ijin","izin","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ikan paus","paus","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ikhwal","ihwal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"iklas","ikhlas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ilir","hilir","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ilmuan","ilmuwan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"imang","timang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"imateriil","imateriel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"import","impor","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"inagurasi","inaugurasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"incer","incar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"indak","tidak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"indera","indra","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"inderaja","indraja","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"indria","indra","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"infantri","infanteri","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"influensa","influenza","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Inggeris","Inggris","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"inkulturasi","enkulturasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"instalatir","instalatur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"insyaf","insaf","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"intelegensi","inteligensi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"intelejensi","inteligensi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"intelijensi","inteligensi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"interen","intern","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"intermezo","intermeso","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"interpiu","interviu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"interprestasi","interpretasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"interyeksi","interjeksi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"intil","kintil","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"iodium","yodium","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"iqamat","ikamah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"isha","isya","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"islamiyah","islamiah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"isolir","isolasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"isra'","isra","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"israk","isra","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"istaz","ustaz","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"istazah","ustazah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"isteri","istri","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"istighfar","istigfar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"istiqamah","istikamah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"itarad","iktirad","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"itaraf","iktiraf","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"itibar","iktibar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"itidal","iktidal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"itikad","iktikad","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"itikaf","iktikaf","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jabel","jabal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jadual","jadwal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jahiliyah","jahiliah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jailangkung","jelangkung","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jais","jaiz","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jamaah","jemaah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jaman","zaman","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jamhur","jumhur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jamiyah","jamiah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jamrud","zamrud","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jangkih","jangki","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jannah","janah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jantera","jentera","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jap","jab","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"japuk","japu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jarang","jerang","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"jariah","amal jariah","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"jariat","jariah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jaru","jaharu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jasirah","jazirah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jazirat","jazirah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jebik","cebik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jejamang","jamang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jeket","jaket","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jelantik","gelatik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jelatik","gelatik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jelentik","selentik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jelepak","jelepok","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"jemerlang","cemerlang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jempalik","jempalit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jenasah","jenazah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jenayah","jinayah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jender","gender","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jendral","jenderal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jenela","jendela","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jengat","jangat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jengget","jengket","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jengkerik","jangkrik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jenius","genius","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jenjeng","jinjing","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jentur","jantur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jepet","jepit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerafah","jerapah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jeragan","juragan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerajak","jerjak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jeram","jaram","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"jerangkah","ceranggah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerejak","jerjak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jeremang","jermang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerembet","jerepet","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerepak","jerempak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerigen","jeriken","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerobong","jerubung","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerongkes","jerungkis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerpak","jerempak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerumbung","jerubung","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jerungkup","jerukup","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jiarah","ziarah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jibilat","jibilah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Jibrail","Jibril","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jidal","bidal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jidor","jidur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jijitsu","yuyitsu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jina","zina","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jinawi","loh jinawi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jinayat","jinayah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jingkau","jangkau","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jipsi","gipsi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jirat","jerat","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"joak","juak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"joang","juang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"joged","joget","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Jogi","yogi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Jogjakarta","Yogyakarta","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jokong","jongkong","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jomblo","jomlo","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jongkah","jongkang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jongkang","jongkong","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"jubung","jerubung","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"jugi","yogi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Juja","Jauza","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jujat","jujah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jujitsu","yuyitsu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jukung","jongkong","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jumanten","jumantan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jum'at","Jumat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jumawa","jemawa","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jumrah","jamrah","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"jungkel","jungkal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jungkung","jongkong","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"jurah","jura","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"juran","joran","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
