Bentuk Takbaku,Bentuk Baku,Sumber,Dapat Diubah,Ambigu,Memiliki Makna,Memiliki Homonim,Memiliki Homograf,Bentuk Baku Homograf Sama
"aktip","aktif","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"aktuil","aktual","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"akupuntur","akupunktur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"alip","alif","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"aliyah","aliah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Allahumma","Allahuma","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"almari","lemari","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"alpokat","alpukat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Al-Quran","Al-Qur'an","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"alu","elu","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"alumunium","aluminium","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ama","hama","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"amandemen","amendemen","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"amarah","marah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ambacang","bacang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ambalela","balela","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ambarau","embarau","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ambat","hambat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ambeg","ambek","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"amberal","admiral","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ambeyen","ambeien","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ambin","amben","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"ambo","hamba","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ambril","amril","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ambulan","ambulans","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ami","umi","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"amien","amin","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"amirulbahri","amirulbahar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ammabakdu","amabakdu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ammi","ami","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"amoniak","amonia","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ampelam","mempelam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"amperometer","amperemeter","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ampibi","amfibi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ampu","empu","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"ampung","apung","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"amputir","amputasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"amuba","ameba","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"analisa","analisis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"anamel","enamel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ancing","hancing","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"andai","handai","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"anderik","anderak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"andikara","adikara","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"anduk","handuk","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"anestesia","anestesi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Anggorokasih","Anggarakasih","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"anggu","peranggu","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"angkar","angker","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"angkus","angkusa","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"angpao","angpau","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"angsang","insang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"angus","hangus","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"anjangsono","anjangsana","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"anoda","anode","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ansor","ansar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ansori","ansari","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"antalas","antelas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"antartika","Antarktika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"antene","antena","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"antep","antap","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"antimon","antimonium","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"antoi","antui","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"antri","antre","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"anyak","enyak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"anyak-anyik","onyak-anyik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"anyik","onyak-anyik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"apek","apak","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"apem","apam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"apiun","opium","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"apkir","afkir","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"aplus","aplaus","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"aporisma","aforisme","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"apotik","apotek","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"aqidah","akidah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"aras","arasy","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"arbitrasi","arbitrase","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"arerut","ararut","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Aria","Arya","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"aring","urang-aring","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"arowana","arwana","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"artifak","artefak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"artik","arktika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"artisyok","articok","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"arun","harum","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"asabiyah","asabiah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ashar","asar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"asik","asyik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"astana","istana","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"astronot","astronaut","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"asyar","asar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"atheis","ateis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"atlit","atlet","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"atmosfir","atmosfer","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"atsiri","asiri","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"auto","oto","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"autologi","otologi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"automatis","otomatis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"autoskop","otoskop","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"autotropik","autotrofik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"avertebrata","invertebrata","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ayanda","ayahanda","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ayid","ayit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ayuk","ayut","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"azali","asali","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"azamat","azmat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"azas","asas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"azemat","azmat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"babah","baba","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"babar","bebar","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"babtis","baptis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bacak","bacek","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bacang","embacang","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bada","bakda","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
